,trajectory_id,trace_number,longitude (degree_east),latitude (degree_north),date,time_UTC,surface_altitude (m),land_ice_thickness (m),bedrock_altitude (m),two_way_travel_time (m),aircraft_altitude (m),along_track_distance (m),easting,northing,project,geometry
82,144933,,-121.0295,-76.808,,,2094.0,2402.0,-308.0,,,,-1233470.0300932026,-742008.1976457683,,POINT (-1233470.0300932026 -742008.1976457683)
83,144932,,-121.0479,-76.808,,,2098.0,2471.0,-373.0,,,,-1233231.6775479186,-742404.2766606305,,POINT (-1233231.6775479186 -742404.2766606305)
84,144931,,-121.0578,-76.808,,,2101.0,2482.0,-381.0,,,,-1233103.3808889645,-742617.3527139351,,POINT (-1233103.3808889645 -742617.3527139351)
85,144930,,-121.0746,-76.808,,,2104.0,2465.0,-361.0,,,,-1232885.581103411,-742978.8855808439,,POINT (-1232885.581103411 -742978.8855808439)
86,144929,,-121.093,-76.8096,,,2106.0,2447.0,-341.0,,,,-1232496.138540061,-743283.8466797139,,POINT (-1232496.138540061 -743283.8466797139)
87,144928,,-121.1046,-76.8096,,,2107.0,2433.0,-326.0,,,,-1232345.629376843,-743533.3603860328,,POINT (-1232345.629376843 -743533.3603860328)
88,144927,,-121.1146,-76.8096,,,2109.0,2433.0,-324.0,,,,-1232215.8395554333,-743748.433947832,,POINT (-1232215.8395554333 -743748.433947832)
89,144982,,-118.3299,-76.63181,,,1754.0,475.0,1279.0,,,,-1284119.1974562746,-692291.5978898688,,POINT (-1284119.1974562746 -692291.5978898688)
90,144981,,-118.3382,-76.63181,,,1757.0,500.0,1257.0,,,,-1284018.8970104777,-692477.6111215804,,POINT (-1284018.8970104777 -692477.6111215804)
91,144980,,-118.3566,-76.6351,,,1759.0,559.0,1200.0,,,,-1283477.7282794195,-692717.9066718381,,POINT (-1283477.7282794195 -692717.9066718381)
92,144979,,-118.38,-76.64010999999999,,,1762.0,596.0,1166.0,,,,-1282709.4759128292,-692979.8837936444,,POINT (-1282709.4759128292 -692979.8837936444)
93,144978,,-118.395,-76.6418,,,1762.0,636.0,1126.0,,,,-1282364.3525966483,-693227.2016917078,,POINT (-1282364.3525966483 -693227.2016917078)
